BlockNumber,StreetName,helper,State,City,Street_Address,Full_St_Address
2100.0,"MICHIE DR, 35B",keep,Virginia,Charlottesville,2100 MICHIE DR,"2100 MICHIE DR, CHARLOTTESVILLE, VA"
600.0,10 1/2 ST NW,keep,Virginia,Charlottesville,600 10 1/2 ST NW,"600 10 1/2 ST NW, CHARLOTTESVILLE, VA"
200.0,2ND ST NW,keep,Virginia,Charlottesville,200 2ND ST NW,"200 2ND ST NW, CHARLOTTESVILLE, VA"
1100.0,E MARKET ST,keep,Virginia,Charlottesville,1100 E MARKET ST,"1100 E MARKET ST, CHARLOTTESVILLE, VA"
500.0,W MAIN ST,keep,Virginia,Charlottesville,500 W MAIN ST,"500 W MAIN ST, CHARLOTTESVILLE, VA"
700.0,"MONTICELLO AVE, C",keep,Virginia,Charlottesville,700 MONTICELLO AVE,"700 MONTICELLO AVE, CHARLOTTESVILLE, VA"
1200.0,AVON ST,keep,Virginia,Charlottesville,1200 AVON ST,"1200 AVON ST, CHARLOTTESVILLE, VA"
400.0,E MARKET ST,keep,Virginia,Charlottesville,400 E MARKET ST,"400 E MARKET ST, CHARLOTTESVILLE, VA"
1200.0,EMMET ST N,keep,Virginia,Charlottesville,1200 EMMET ST N,"1200 EMMET ST N, CHARLOTTESVILLE, VA"
900.0,E MARKET ST,keep,Virginia,Charlottesville,900 E MARKET ST,"900 E MARKET ST, CHARLOTTESVILLE, VA"
300.0,CHESTNUT ST,keep,Virginia,Charlottesville,300 CHESTNUT ST,"300 CHESTNUT ST, CHARLOTTESVILLE, VA"
200.0,GARRETT ST,keep,Virginia,Charlottesville,200 GARRETT ST,"200 GARRETT ST, CHARLOTTESVILLE, VA"
200.0,W MAIN ST,keep,Virginia,Charlottesville,200 W MAIN ST,"200 W MAIN ST, CHARLOTTESVILLE, VA"
700.0,E WATER ST,keep,Virginia,Charlottesville,700 E WATER ST,"700 E WATER ST, CHARLOTTESVILLE, VA"
900.0,PRESTON AVE,keep,Virginia,Charlottesville,900 PRESTON AVE,"900 PRESTON AVE, CHARLOTTESVILLE, VA"
300.0,250 BYPASS,keep,Virginia,Charlottesville,300 250 BYPASS,"300 250 BYPASS, CHARLOTTESVILLE, VA"
100.0,10TH ST NW,keep,Virginia,Charlottesville,100 10TH ST NW,"100 10TH ST NW, CHARLOTTESVILLE, VA"
1100.0,KENSINGTON AVE,keep,Virginia,Charlottesville,1100 KENSINGTON AVE,"1100 KENSINGTON AVE, CHARLOTTESVILLE, VA"
1600.0,YORKTOWN DR,keep,Virginia,Charlottesville,1600 YORKTOWN DR,"1600 YORKTOWN DR, CHARLOTTESVILLE, VA"
100.0,"LANKFORD AVE, 5",keep,Virginia,Charlottesville,100 LANKFORD AVE,"100 LANKFORD AVE, CHARLOTTESVILLE, VA"
300.0,"UNIVERSITY CIR, 202",keep,Virginia,Charlottesville,300 UNIVERSITY CIR,"300 UNIVERSITY CIR, CHARLOTTESVILLE, VA"
2100.0,ANGUS RD,keep,Virginia,Charlottesville,2100 ANGUS RD,"2100 ANGUS RD, CHARLOTTESVILLE, VA"
800.0,RAINIER RD,keep,Virginia,Charlottesville,800 RAINIER RD,"800 RAINIER RD, CHARLOTTESVILLE, VA"
1000.0,WERTLAND ST,keep,Virginia,Charlottesville,1000 WERTLAND ST,"1000 WERTLAND ST, CHARLOTTESVILLE, VA"
300.0,PRESTON AVE,keep,Virginia,Charlottesville,300 PRESTON AVE,"300 PRESTON AVE, CHARLOTTESVILLE, VA"
300.0,OLD LYNCHBURG RD,keep,Virginia,Charlottesville,300 OLD LYNCHBURG RD,"300 OLD LYNCHBURG RD, CHARLOTTESVILLE, VA"
100.0,W MARKET ST,keep,Virginia,Charlottesville,100 W MARKET ST,"100 W MARKET ST, CHARLOTTESVILLE, VA"
1900.0,"CEDAR HILL RD, B",keep,Virginia,Charlottesville,1900 CEDAR HILL RD,"1900 CEDAR HILL RD, CHARLOTTESVILLE, VA"
300.0,15TH ST NW,keep,Virginia,Charlottesville,300 15TH ST NW,"300 15TH ST NW, CHARLOTTESVILLE, VA"
500.0,"S 1ST ST, 213",keep,Virginia,Charlottesville,500 S 1ST ST,"500 S 1ST ST, CHARLOTTESVILLE, VA"
nan,<UNKNOWN>,drop,Virginia,Charlottesville,No Address Listed,"No Address Listed, CHARLOTTESVILLE, VA"
1300.0,CARLTON AVE,keep,Virginia,Charlottesville,1300 CARLTON AVE,"1300 CARLTON AVE, CHARLOTTESVILLE, VA"
600.0,"MASON ST, A1",keep,Virginia,Charlottesville,600 MASON ST,"600 MASON ST, CHARLOTTESVILLE, VA"
2000.0,MEADOWBROOK RD,keep,Virginia,Charlottesville,2000 MEADOWBROOK RD,"2000 MEADOWBROOK RD, CHARLOTTESVILLE, VA"
nan,RAMP @ EMMET ST,intersection,Virginia,Charlottesville,RAMP @ EMMET ST,"RAMP @ EMMET ST, CHARLOTTESVILLE, VA"
700.0,ORANGEDALE AVE,keep,Virginia,Charlottesville,700 ORANGEDALE AVE,"700 ORANGEDALE AVE, CHARLOTTESVILLE, VA"
300.0,RIVERSIDE AVE,keep,Virginia,Charlottesville,300 RIVERSIDE AVE,"300 RIVERSIDE AVE, CHARLOTTESVILLE, VA"
1000.0,PRESTON AVE,keep,Virginia,Charlottesville,1000 PRESTON AVE,"1000 PRESTON AVE, CHARLOTTESVILLE, VA"
1000.0,"E MARKET ST, 1-6",keep,Virginia,Charlottesville,1000 E MARKET ST,"1000 E MARKET ST, CHARLOTTESVILLE, VA"
400.0,QUARRY RD,keep,Virginia,Charlottesville,400 QUARRY RD,"400 QUARRY RD, CHARLOTTESVILLE, VA"
2100.0,"ARLINGTON BLVD, 509",keep,Virginia,Charlottesville,2100 ARLINGTON BLVD,"2100 ARLINGTON BLVD, CHARLOTTESVILLE, VA"
1000.0,"WERTLAND ST, 404",keep,Virginia,Charlottesville,1000 WERTLAND ST,"1000 WERTLAND ST, CHARLOTTESVILLE, VA"
1200.0,CARLTON AVE,keep,Virginia,Charlottesville,1200 CARLTON AVE,"1200 CARLTON AVE, CHARLOTTESVILLE, VA"
nan,W MARKET ST / 2ND ST NW,drop,Virginia,Charlottesville,W MARKET ST / 2ND ST NW,"W MARKET ST / 2ND ST NW, CHARLOTTESVILLE, VA"
800.0,MONTROSE AVE,keep,Virginia,Charlottesville,800 MONTROSE AVE,"800 MONTROSE AVE, CHARLOTTESVILLE, VA"
2100.0,"MICHIE DR, 106",keep,Virginia,Charlottesville,2100 MICHIE DR,"2100 MICHIE DR, CHARLOTTESVILLE, VA"
1300.0,"KNOLL ST, A",keep,Virginia,Charlottesville,1300 KNOLL ST,"1300 KNOLL ST, CHARLOTTESVILLE, VA"
1400.0,SHORT 18TH ST,keep,Virginia,Charlottesville,1400 SHORT 18TH ST,"1400 SHORT 18TH ST, CHARLOTTESVILLE, VA"
200.0,E MAIN ST,keep,Virginia,Charlottesville,200 E MAIN ST,"200 E MAIN ST, CHARLOTTESVILLE, VA"
600.0,E MARKET ST,keep,Virginia,Charlottesville,600 E MARKET ST,"600 E MARKET ST, CHARLOTTESVILLE, VA"
400.0,E MAIN ST,keep,Virginia,Charlottesville,400 E MAIN ST,"400 E MAIN ST, CHARLOTTESVILLE, VA"
500.0,1ST ST S,keep,Virginia,Charlottesville,500 1ST ST S,"500 1ST ST S, CHARLOTTESVILLE, VA"
300.0,"15TH ST NW, 5026",keep,Virginia,Charlottesville,300 15TH ST NW,"300 15TH ST NW, CHARLOTTESVILLE, VA"
100.0,W MAIN ST,keep,Virginia,Charlottesville,100 W MAIN ST,"100 W MAIN ST, CHARLOTTESVILLE, VA"
1000.0,EMMET ST N,keep,Virginia,Charlottesville,1000 EMMET ST N,"1000 EMMET ST N, CHARLOTTESVILLE, VA"
400.0,RIDGE MCINTIRE RD,keep,Virginia,Charlottesville,400 RIDGE MCINTIRE RD,"400 RIDGE MCINTIRE RD, CHARLOTTESVILLE, VA"
900.0,"PRESTON AVE, A",keep,Virginia,Charlottesville,900 PRESTON AVE,"900 PRESTON AVE, CHARLOTTESVILLE, VA"
900.0,BELMONT AVE,keep,Virginia,Charlottesville,900 BELMONT AVE,"900 BELMONT AVE, CHARLOTTESVILLE, VA"
2200.0,GREENBRIER DR,keep,Virginia,Charlottesville,2200 GREENBRIER DR,"2200 GREENBRIER DR, CHARLOTTESVILLE, VA"
400.0,250 BYPASS,keep,Virginia,Charlottesville,400 250 BYPASS,"400 250 BYPASS, CHARLOTTESVILLE, VA"
2000.0,"HOLIDAY DR, 359",keep,Virginia,Charlottesville,2000 HOLIDAY DR,"2000 HOLIDAY DR, CHARLOTTESVILLE, VA"
1300.0,RIVERDALE DR,keep,Virginia,Charlottesville,1300 RIVERDALE DR,"1300 RIVERDALE DR, CHARLOTTESVILLE, VA"
1900.0,EMMET ST N,keep,Virginia,Charlottesville,1900 EMMET ST N,"1900 EMMET ST N, CHARLOTTESVILLE, VA"
100.0,LANKFORD AVE,keep,Virginia,Charlottesville,100 LANKFORD AVE,"100 LANKFORD AVE, CHARLOTTESVILLE, VA"
1100.0,5TH ST SW,keep,Virginia,Charlottesville,1100 5TH ST SW,"1100 5TH ST SW, CHARLOTTESVILLE, VA"
500.0,HARRIS RD,keep,Virginia,Charlottesville,500 HARRIS RD,"500 HARRIS RD, CHARLOTTESVILLE, VA"
700.0,STONEHENGE AVE,keep,Virginia,Charlottesville,700 STONEHENGE AVE,"700 STONEHENGE AVE, CHARLOTTESVILLE, VA"
2500.0,WILLARD DR,keep,Virginia,Charlottesville,2500 WILLARD DR,"2500 WILLARD DR, CHARLOTTESVILLE, VA"
1100.0,EMMET ST N,keep,Virginia,Charlottesville,1100 EMMET ST N,"1100 EMMET ST N, CHARLOTTESVILLE, VA"
1200.0,HOLMES AVE,keep,Virginia,Charlottesville,1200 HOLMES AVE,"1200 HOLMES AVE, CHARLOTTESVILLE, VA"
700.0,E MAIN ST,keep,Virginia,Charlottesville,700 E MAIN ST,"700 E MAIN ST, CHARLOTTESVILLE, VA"
1600.0,HARDWOOD AVE,keep,Virginia,Charlottesville,1600 HARDWOOD AVE,"1600 HARDWOOD AVE, CHARLOTTESVILLE, VA"
2000.0,MINOR RD,keep,Virginia,Charlottesville,2000 MINOR RD,"2000 MINOR RD, CHARLOTTESVILLE, VA"
100.0,7TH ST NE,keep,Virginia,Charlottesville,100 7TH ST NE,"100 7TH ST NE, CHARLOTTESVILLE, VA"
1200.0,CEDARS CT,keep,Virginia,Charlottesville,1200 CEDARS CT,"1200 CEDARS CT, CHARLOTTESVILLE, VA"
700.0,RIDGE ST,keep,Virginia,Charlottesville,700 RIDGE ST,"700 RIDGE ST, CHARLOTTESVILLE, VA"
2100.0,IVY RD,keep,Virginia,Charlottesville,2100 IVY RD,"2100 IVY RD, CHARLOTTESVILLE, VA"
1800.0,EMMET ST N,keep,Virginia,Charlottesville,1800 EMMET ST N,"1800 EMMET ST N, CHARLOTTESVILLE, VA"
2000.0,INDIA RD,keep,Virginia,Charlottesville,2000 INDIA RD,"2000 INDIA RD, CHARLOTTESVILLE, VA"
100.0,E JEFFERSON ST,keep,Virginia,Charlottesville,100 E JEFFERSON ST,"100 E JEFFERSON ST, CHARLOTTESVILLE, VA"
500.0,"HARRIS RD, 150",keep,Virginia,Charlottesville,500 HARRIS RD,"500 HARRIS RD, CHARLOTTESVILLE, VA"
1000.0,FOREST HILLS AVE,keep,Virginia,Charlottesville,1000 FOREST HILLS AVE,"1000 FOREST HILLS AVE, CHARLOTTESVILLE, VA"
600.0,E HIGH ST,keep,Virginia,Charlottesville,600 E HIGH ST,"600 E HIGH ST, CHARLOTTESVILLE, VA"
800.0,E MARKET ST,keep,Virginia,Charlottesville,800 E MARKET ST,"800 E MARKET ST, CHARLOTTESVILLE, VA"
1300.0,"CARLTON AVE, 207",keep,Virginia,Charlottesville,1300 CARLTON AVE,"1300 CARLTON AVE, CHARLOTTESVILLE, VA"
2000.0,MORTON DR,keep,Virginia,Charlottesville,2000 MORTON DR,"2000 MORTON DR, CHARLOTTESVILLE, VA"
100.0,"MIDDLESEX DR, B",keep,Virginia,Charlottesville,100 MIDDLESEX DR,"100 MIDDLESEX DR, CHARLOTTESVILLE, VA"
100.0,E MAIN ST,keep,Virginia,Charlottesville,100 E MAIN ST,"100 E MAIN ST, CHARLOTTESVILLE, VA"
700.0,PROSPECT AVE,keep,Virginia,Charlottesville,700 PROSPECT AVE,"700 PROSPECT AVE, CHARLOTTESVILLE, VA"
nan,SEMINOLE @ HYDRAULIC RD,intersection,Virginia,Charlottesville,SEMINOLE @ HYDRAULIC RD,"SEMINOLE @ HYDRAULIC RD, CHARLOTTESVILLE, VA"
nan,OAK ST / 5TH ST SW,drop,Virginia,Charlottesville,OAK ST / 5TH ST SW,"OAK ST / 5TH ST SW, CHARLOTTESVILLE, VA"
2100.0,"MICHIE DR, 47A",keep,Virginia,Charlottesville,2100 MICHIE DR,"2100 MICHIE DR, CHARLOTTESVILLE, VA"
500.0,PARK ST,keep,Virginia,Charlottesville,500 PARK ST,"500 PARK ST, CHARLOTTESVILLE, VA"
800.0,ORANGEDALE AVE,keep,Virginia,Charlottesville,800 ORANGEDALE AVE,"800 ORANGEDALE AVE, CHARLOTTESVILLE, VA"
800.0,DRUID AVE,keep,Virginia,Charlottesville,800 DRUID AVE,"800 DRUID AVE, CHARLOTTESVILLE, VA"
100.0,BRANDYWINE CT,keep,Virginia,Charlottesville,100 BRANDYWINE CT,"100 BRANDYWINE CT, CHARLOTTESVILLE, VA"
800.0,"HARDY DR, D",keep,Virginia,Charlottesville,800 HARDY DR,"800 HARDY DR, CHARLOTTESVILLE, VA"
700.0,"PROSPECT AVE, F",keep,Virginia,Charlottesville,700 PROSPECT AVE,"700 PROSPECT AVE, CHARLOTTESVILLE, VA"
1600.0,EMMET ST N,keep,Virginia,Charlottesville,1600 EMMET ST N,"1600 EMMET ST N, CHARLOTTESVILLE, VA"
1800.0,"JEFFERSON PARK AVE, 21",keep,Virginia,Charlottesville,1800 JEFFERSON PARK AVE,"1800 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
500.0,"CLEVELAND AVE, B",keep,Virginia,Charlottesville,500 CLEVELAND AVE,"500 CLEVELAND AVE, CHARLOTTESVILLE, VA"
500.0,14TH ST NW,keep,Virginia,Charlottesville,500 14TH ST NW,"500 14TH ST NW, CHARLOTTESVILLE, VA"
700.0,WALKER SQ,keep,Virginia,Charlottesville,700 WALKER SQ,"700 WALKER SQ, CHARLOTTESVILLE, VA"
200.0,HARTMANS MILL RD,keep,Virginia,Charlottesville,200 HARTMANS MILL RD,"200 HARTMANS MILL RD, CHARLOTTESVILLE, VA"
100.0,ROBERTSON AVE,keep,Virginia,Charlottesville,100 ROBERTSON AVE,"100 ROBERTSON AVE, CHARLOTTESVILLE, VA"
300.0,E MAIN ST,keep,Virginia,Charlottesville,300 E MAIN ST,"300 E MAIN ST, CHARLOTTESVILLE, VA"
1000.0,ALTAVISTA AVE,keep,Virginia,Charlottesville,1000 ALTAVISTA AVE,"1000 ALTAVISTA AVE, CHARLOTTESVILLE, VA"
400.0,RIVERSIDE AVE,keep,Virginia,Charlottesville,400 RIVERSIDE AVE,"400 RIVERSIDE AVE, CHARLOTTESVILLE, VA"
500.0,E MARKET ST,keep,Virginia,Charlottesville,500 E MARKET ST,"500 E MARKET ST, CHARLOTTESVILLE, VA"
200.0,E MARKET ST,keep,Virginia,Charlottesville,200 E MARKET ST,"200 E MARKET ST, CHARLOTTESVILLE, VA"
200.0,9TH ST NE,keep,Virginia,Charlottesville,200 9TH ST NE,"200 9TH ST NE, CHARLOTTESVILLE, VA"
300.0,MEADE AVE,keep,Virginia,Charlottesville,300 MEADE AVE,"300 MEADE AVE, CHARLOTTESVILLE, VA"
1700.0,JEFFERSON PARK AVE,keep,Virginia,Charlottesville,1700 JEFFERSON PARK AVE,"1700 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
800.0,PRESTON AVE,keep,Virginia,Charlottesville,800 PRESTON AVE,"800 PRESTON AVE, CHARLOTTESVILLE, VA"
2100.0,BARRACKS RD,keep,Virginia,Charlottesville,2100 BARRACKS RD,"2100 BARRACKS RD, CHARLOTTESVILLE, VA"
nan,3RD ST SE / E WATER ST,drop,Virginia,Charlottesville,3RD ST SE / E WATER ST,"3RD ST SE / E WATER ST, CHARLOTTESVILLE, VA"
700.0,MONTICELLO AVE,keep,Virginia,Charlottesville,700 MONTICELLO AVE,"700 MONTICELLO AVE, CHARLOTTESVILLE, VA"
1900.0,CHESAPEAKE ST,keep,Virginia,Charlottesville,1900 CHESAPEAKE ST,"1900 CHESAPEAKE ST, CHARLOTTESVILLE, VA"
100.0,BROOKWOOD DR,keep,Virginia,Charlottesville,100 BROOKWOOD DR,"100 BROOKWOOD DR, CHARLOTTESVILLE, VA"
500.0,ROCKLAND AVE,keep,Virginia,Charlottesville,500 ROCKLAND AVE,"500 ROCKLAND AVE, CHARLOTTESVILLE, VA"
1900.0,BLUE RIDGE RD,keep,Virginia,Charlottesville,1900 BLUE RIDGE RD,"1900 BLUE RIDGE RD, CHARLOTTESVILLE, VA"
1000.0,W MAIN ST,keep,Virginia,Charlottesville,1000 W MAIN ST,"1000 W MAIN ST, CHARLOTTESVILLE, VA"
400.0,GARRETT ST,keep,Virginia,Charlottesville,400 GARRETT ST,"400 GARRETT ST, CHARLOTTESVILLE, VA"
100.0,DENICE LN,keep,Virginia,Charlottesville,100 DENICE LN,"100 DENICE LN, CHARLOTTESVILLE, VA"
100.0,"FRANKLIN ST, B",keep,Virginia,Charlottesville,100 FRANKLIN ST,"100 FRANKLIN ST, CHARLOTTESVILLE, VA"
600.0,RUGBY RD,keep,Virginia,Charlottesville,600 RUGBY RD,"600 RUGBY RD, CHARLOTTESVILLE, VA"
nan,OAK ST / OAKMONT ST,drop,Virginia,Charlottesville,OAK ST / OAKMONT ST,"OAK ST / OAKMONT ST, CHARLOTTESVILLE, VA"
1000.0,"WERTLAND ST, 2A",keep,Virginia,Charlottesville,1000 WERTLAND ST,"1000 WERTLAND ST, CHARLOTTESVILLE, VA"
1000.0,"RIDGE ST, 10",keep,Virginia,Charlottesville,1000 RIDGE ST,"1000 RIDGE ST, CHARLOTTESVILLE, VA"
1900.0,"JEFFERSON PARK AVE, 27",keep,Virginia,Charlottesville,1900 JEFFERSON PARK AVE,"1900 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
400.0,"VALLEY RD EXT, B",keep,Virginia,Charlottesville,400 VALLEY RD EXT,"400 VALLEY RD EXT, CHARLOTTESVILLE, VA"
500.0,"HARRIS RD, 156",keep,Virginia,Charlottesville,500 HARRIS RD,"500 HARRIS RD, CHARLOTTESVILLE, VA"
2300.0,ANGUS RD,keep,Virginia,Charlottesville,2300 ANGUS RD,"2300 ANGUS RD, CHARLOTTESVILLE, VA"
100.0,NORTH BAKER ST,keep,Virginia,Charlottesville,100 NORTH BAKER ST,"100 NORTH BAKER ST, CHARLOTTESVILLE, VA"
200.0,RIDGE MCINTIRE RD,keep,Virginia,Charlottesville,200 RIDGE MCINTIRE RD,"200 RIDGE MCINTIRE RD, CHARLOTTESVILLE, VA"
300.0,CAMELIA DR,keep,Virginia,Charlottesville,300 CAMELIA DR,"300 CAMELIA DR, CHARLOTTESVILLE, VA"
2000.0,JEFFERSON PARK AVE,keep,Virginia,Charlottesville,2000 JEFFERSON PARK AVE,"2000 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
200.0,CARLTON RD,keep,Virginia,Charlottesville,200 CARLTON RD,"200 CARLTON RD, CHARLOTTESVILLE, VA"
200.0,RIDGE ST,keep,Virginia,Charlottesville,200 RIDGE ST,"200 RIDGE ST, CHARLOTTESVILLE, VA"
3800.0,-78.50599974,keep,Virginia,Charlottesville,3800 -78.5059997410000000,"3800 -78.5059997410000000, CHARLOTTESVILLE, VA"
100.0,"PIEDMONT AVE S, B",keep,Virginia,Charlottesville,100 PIEDMONT AVE S,"100 PIEDMONT AVE S, CHARLOTTESVILLE, VA"
800.0,ST CLAIR AVE,keep,Virginia,Charlottesville,800 ST CLAIR AVE,"800 ST CLAIR AVE, CHARLOTTESVILLE, VA"
300.0,"2ND ST SE, 100",keep,Virginia,Charlottesville,300 2ND ST SE,"300 2ND ST SE, CHARLOTTESVILLE, VA"
300.0,CARLTON RD,keep,Virginia,Charlottesville,300 CARLTON RD,"300 CARLTON RD, CHARLOTTESVILLE, VA"
2100.0,"MICHIE DR, 52B",keep,Virginia,Charlottesville,2100 MICHIE DR,"2100 MICHIE DR, CHARLOTTESVILLE, VA"
1500.0,WESTWOOD RD,keep,Virginia,Charlottesville,1500 WESTWOOD RD,"1500 WESTWOOD RD, CHARLOTTESVILLE, VA"
1600.0,RICKY RD,keep,Virginia,Charlottesville,1600 RICKY RD,"1600 RICKY RD, CHARLOTTESVILLE, VA"
400.0,4TH ST NW,keep,Virginia,Charlottesville,400 4TH ST NW,"400 4TH ST NW, CHARLOTTESVILLE, VA"
nan,SHAMROCK RD / STADIUM RD,drop,Virginia,Charlottesville,SHAMROCK RD / STADIUM RD,"SHAMROCK RD / STADIUM RD, CHARLOTTESVILLE, VA"
1100.0,E JEFFERSON ST,keep,Virginia,Charlottesville,1100 E JEFFERSON ST,"1100 E JEFFERSON ST, CHARLOTTESVILLE, VA"
nan,2ND ST NW / W MARKET ST,drop,Virginia,Charlottesville,2ND ST NW / W MARKET ST,"2ND ST NW / W MARKET ST, CHARLOTTESVILLE, VA"
nan,E HIGH ST @ LONG ST,intersection,Virginia,Charlottesville,E HIGH ST @ LONG ST,"E HIGH ST @ LONG ST, CHARLOTTESVILLE, VA"
500.0,CHERRY AVE,keep,Virginia,Charlottesville,500 CHERRY AVE,"500 CHERRY AVE, CHARLOTTESVILLE, VA"
500.0,"1ST ST N, 204",keep,Virginia,Charlottesville,500 1ST ST N,"500 1ST ST N, CHARLOTTESVILLE, VA"
2300.0,"CENTER AVE, B",keep,Virginia,Charlottesville,2300 CENTER AVE,"2300 CENTER AVE, CHARLOTTESVILLE, VA"
100.0,CARLTON RD,keep,Virginia,Charlottesville,100 CARLTON RD,"100 CARLTON RD, CHARLOTTESVILLE, VA"
500.0,"12TH ST NW, A",keep,Virginia,Charlottesville,500 12TH ST NW,"500 12TH ST NW, CHARLOTTESVILLE, VA"
1000.0,BELMONT AVE,keep,Virginia,Charlottesville,1000 BELMONT AVE,"1000 BELMONT AVE, CHARLOTTESVILLE, VA"
1300.0,"CARLTON AVE, 104",keep,Virginia,Charlottesville,1300 CARLTON AVE,"1300 CARLTON AVE, CHARLOTTESVILLE, VA"
1700.0,"JEFFERSON PARK AVE, 9",keep,Virginia,Charlottesville,1700 JEFFERSON PARK AVE,"1700 JEFFERSON PARK AVE, CHARLOTTESVILLE, VA"
100.0,E MARKET ST,keep,Virginia,Charlottesville,100 E MARKET ST,"100 E MARKET ST, CHARLOTTESVILLE, VA"
1400.0,BAKER ST,keep,Virginia,Charlottesville,1400 BAKER ST,"1400 BAKER ST, CHARLOTTESVILLE, VA"
1700.0,MONTICELLO RD,keep,Virginia,Charlottesville,1700 MONTICELLO RD,"1700 MONTICELLO RD, CHARLOTTESVILLE, VA"
100.0,ELLIEWOOD AVE,keep,Virginia,Charlottesville,100 ELLIEWOOD AVE,"100 ELLIEWOOD AVE, CHARLOTTESVILLE, VA"
1600.0,"EMMET ST N, 121",keep,Virginia,Charlottesville,1600 EMMET ST N,"1600 EMMET ST N, CHARLOTTESVILLE, VA"
1500.0,GRADY AVE,keep,Virginia,Charlottesville,1500 GRADY AVE,"1500 GRADY AVE, CHARLOTTESVILLE, VA"
2100.0,"IVY RD, 13",keep,Virginia,Charlottesville,2100 IVY RD,"2100 IVY RD, CHARLOTTESVILLE, VA"
nan,14TH ST NW,drop,Virginia,Charlottesville,14TH ST NW,"14TH ST NW, CHARLOTTESVILLE, VA"
300.0,HILLSDALE DR,keep,Virginia,Charlottesville,300 HILLSDALE DR,"300 HILLSDALE DR, CHARLOTTESVILLE, VA"
2400.0,FONTAINE AVE,keep,Virginia,Charlottesville,2400 FONTAINE AVE,"2400 FONTAINE AVE, CHARLOTTESVILLE, VA"
1300.0,NUNLEY ST,keep,Virginia,Charlottesville,1300 NUNLEY ST,"1300 NUNLEY ST, CHARLOTTESVILLE, VA"
100.0,"14TH ST NW, 1",keep,Virginia,Charlottesville,100 14TH ST NW,"100 14TH ST NW, CHARLOTTESVILLE, VA"
100.0,MONTICELLO AVE,keep,Virginia,Charlottesville,100 MONTICELLO AVE,"100 MONTICELLO AVE, CHARLOTTESVILLE, VA"
600.0,CHERRY AVE,keep,Virginia,Charlottesville,600 CHERRY AVE,"600 CHERRY AVE, CHARLOTTESVILLE, VA"
300.0,"13TH ST NW, 1",keep,Virginia,Charlottesville,300 13TH ST NW,"300 13TH ST NW, CHARLOTTESVILLE, VA"
1200.0,"CEDARS CT, 202B",keep,Virginia,Charlottesville,1200 CEDARS CT,"1200 CEDARS CT, CHARLOTTESVILLE, VA"
1400.0,MIDLAND ST,keep,Virginia,Charlottesville,1400 MIDLAND ST,"1400 MIDLAND ST, CHARLOTTESVILLE, VA"
800.0,RUGBY RD,keep,Virginia,Charlottesville,800 RUGBY RD,"800 RUGBY RD, CHARLOTTESVILLE, VA"
nan,MILLMONT ST @ BARRACKS RD,intersection,Virginia,Charlottesville,MILLMONT ST @ BARRACKS RD,"MILLMONT ST @ BARRACKS RD, CHARLOTTESVILLE, VA"
800.0,WALKER SQ,keep,Virginia,Charlottesville,800 WALKER SQ,"800 WALKER SQ, CHARLOTTESVILLE, VA"
400.0,10TH ST NW,keep,Virginia,Charlottesville,400 10TH ST NW,"400 10TH ST NW, CHARLOTTESVILLE, VA"
nan,SUNSET AVENUE,drop,Virginia,Charlottesville,SUNSET AVENUE,"SUNSET AVENUE, CHARLOTTESVILLE, VA"
2200.0,BANBURY ST,keep,Virginia,Charlottesville,2200 BANBURY ST,"2200 BANBURY ST, CHARLOTTESVILLE, VA"
800.0,FOREST ST,keep,Virginia,Charlottesville,800 FOREST ST,"800 FOREST ST, CHARLOTTESVILLE, VA"
1300.0,W MAIN ST,keep,Virginia,Charlottesville,1300 W MAIN ST,"1300 W MAIN ST, CHARLOTTESVILLE, VA"
900.0,1ST ST S,keep,Virginia,Charlottesville,900 1ST ST S,"900 1ST ST S, CHARLOTTESVILLE, VA"
nan,LONG ST / ST CLAIR AVE,drop,Virginia,Charlottesville,LONG ST / ST CLAIR AVE,"LONG ST / ST CLAIR AVE, CHARLOTTESVILLE, VA"
600.0,E WATER ST,keep,Virginia,Charlottesville,600 E WATER ST,"600 E WATER ST, CHARLOTTESVILLE, VA"
900.0,BOLLING AVE,keep,Virginia,Charlottesville,900 BOLLING AVE,"900 BOLLING AVE, CHARLOTTESVILLE, VA"
100.0,STEWART CIR,keep,Virginia,Charlottesville,100 STEWART CIR,"100 STEWART CIR, CHARLOTTESVILLE, VA"
1900.0,"IVY RD, BLK",keep,Virginia,Charlottesville,1900 IVY RD,"1900 IVY RD, CHARLOTTESVILLE, VA"
400.0,10TH ST NE,keep,Virginia,Charlottesville,400 10TH ST NE,"400 10TH ST NE, CHARLOTTESVILLE, VA"
800.0,"HARDY DR, C",keep,Virginia,Charlottesville,800 HARDY DR,"800 HARDY DR, CHARLOTTESVILLE, VA"
500.0,RIDGE ST,keep,Virginia,Charlottesville,500 RIDGE ST,"500 RIDGE ST, CHARLOTTESVILLE, VA"
2100.0,"MICHIE DR, 35",keep,Virginia,Charlottesville,2100 MICHIE DR,"2100 MICHIE DR, CHARLOTTESVILLE, VA"
1200.0,"CEDARS CT, A2",keep,Virginia,Charlottesville,1200 CEDARS CT,"1200 CEDARS CT, CHARLOTTESVILLE, VA"
